DATE,ROUTE NO,SHOP NO,ACCOUNT,SHOP CODE,SHOP NAME,ODD,PCS,PCS(31),CRATES,SERVICE TIME,LATITUDE,LONGITUDE,ADDRESS
31-May,48,1,ZAPP,ZP00903,ZAPP KARANGALAN MARKET,2,25,24,2,,14.606504,121.10386,"Manggahan, Pasig, Metro Manila, Philippines"
31-May,48,2,MD,101856,MD MASINAG,29,388,375,9,,14.625635,121.124746,"Sumulong1, Marikina-Infanta Hwy, Antipolo, 1800 Rizal, Philippines"
31-May,48,3,KA,103695,SMFA MAMBUGAN,30,18,18,1,,14.621308,121.127136,"Mambugan, Antipolo, Rizal, Philippines"
31-May,48,6,MD,100880,MRCM ENTERPRISES,31,18,18,1,,14.622328,121.172861,"Bagong Nayon, Antipolo, Rizal, Philippines"
31-May,48,7,ZAPP,ZP02322,Zapp Kings Eatery Inarawan Antipolo,31,167,44,4,,14.622931,121.179199,Kings Eatery – #347 St. Anthony de Padua Brgy Inarawan Antipolo
31-May,48,9,MD,100392,MD GEMS ANTIPOLO,8,291,291,8,,14.585354,121.175746,"Antipolo, Rizal, Philippines"
31-May,48,10,MD,102211,MD EASTMART ANTIPOLO,31,299,299,8,,14.583492,121.176836,"San Roque, Antipolo, Rizal, Philippines"
31-May,48,12,MD,102526,MD M.L. QUEZON ANTIPOLO,31,788,788,17,,14.587066,121.175682,"San Roque, Antipolo, Rizal, Philippines"
31-May,48,13,MD,101862,MD VICTORY ANTIPOLO,31,749,725,15,,14.587802,121.175855,"San Jose, Padilla, Antipolo, Rizal, Philippines"
31-May,48,16,MD,107434,MD ROBINSONS ANTIPOLO,30,570,570,14,,14.595191,121.173253,"Dela Paz, Padilla, Antipolo, Rizal, Philippines"
31-May,48,17,MD,402217,"MD SHOP, SM MASINAG",31,618,618,14,,14.625188,121.120715,"Mayamot, Antipolo, Rizal, Philippines"
30-May,48,14,KA,107168,7-11 ST1670 C LAWS ANTIPOLO,31,174,84,5,,14.589917,121.182139,"San Isidro, Padilla, Antipolo, 1870 Rizal, Philippines"
25-May,48,3,MD,102694,MD COGEO TOWN PLAZA 2,15,438,325,11,,14.621136,121.169074,"83 Marikina-Infanta Hwy, Antipolo, 1870 Rizal, Philippines"
21-May,48,5,ZAPP,ZP00998,ZAPP DELAPAZ NHS ANTIPOLO,23,0,0,0,,14.590229,121.170318,"Dela Paz, Padilla, Antipolo, Rizal, Philippines"
21-May,48,11,KA,101500,ALL DAY MAIA ALTA 2,1,0,0,0,,14.566963,121.188191,"Dalig, Padilla, Antipolo, Rizal, Philippines"
2-May,48,15,KA,101925,ALL DAY WOODBERRY,1,,,,,14.602965,121.182278,"San Luis, Padilla, Antipolo, Rizal, Philippines"
